?cls	?pred	?val	?synType
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000119>	<http://www.w3.org/2000/01/rdf-schema#label>	"country"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010016>	<http://www.w3.org/2000/01/rdf-schema#label>	"materials science"@en	
<http://purl.obolibrary.org/obo/IAO_8000013>	<http://www.w3.org/2000/01/rdf-schema#label>	"reasoned ontology module"@en	
<http://purl.obolibrary.org/obo/BFO_0000019>	<http://www.w3.org/2000/01/rdf-schema#label>	"quality"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001061>	<http://www.w3.org/2000/01/rdf-schema#label>	"organizer role"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000193>	<http://www.w3.org/2000/01/rdf-schema#label>	"publisher role"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000006>	<http://www.w3.org/2000/01/rdf-schema#label>	"consortium"@en	
<http://edamontology.org/format_3956>	<http://www.w3.org/2000/01/rdf-schema#label>	"N-Quads"	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000232>	<http://www.w3.org/2000/01/rdf-schema#label>	"service product"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000121>	<http://www.w3.org/2000/01/rdf-schema#label>	"database software"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000148>	<http://www.w3.org/2000/01/rdf-schema#label>	"MIME-type"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000157>	<http://www.w3.org/2000/01/rdf-schema#label>	"electrical engineering"@en	
<http://purl.obolibrary.org/obo/IAO_0000608>	<http://www.w3.org/2000/01/rdf-schema#label>	"author information textual entity"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000140>	<http://www.w3.org/2000/01/rdf-schema#label>	"software library"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000186>	<http://www.w3.org/2000/01/rdf-schema#label>	"programming language"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000022>	<http://www.w3.org/2000/01/rdf-schema#label>	"document"@en	
<http://purl.obolibrary.org/obo/BFO_0000009>	<http://www.w3.org/2000/01/rdf-schema#label>	"two-dimensional spatial region"@en	
<http://purl.obolibrary.org/obo/IAO_8000000>	<http://www.w3.org/2000/01/rdf-schema#label>	"ontology module"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010020>	<http://www.w3.org/2000/01/rdf-schema#label>	"conference"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000222>	<http://www.w3.org/2000/01/rdf-schema#label>	"web application software"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001048>	<http://www.w3.org/2000/01/rdf-schema#label>	"simulation software"@en	
<http://edamontology.org/format_3261>	<http://www.w3.org/2000/01/rdf-schema#label>	"RDF/XML"	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001060>	<http://www.w3.org/2000/01/rdf-schema#label>	"manufacturer role"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000005>	<http://www.w3.org/2000/01/rdf-schema#label>	"place"@en	
<http://purl.obolibrary.org/obo/IAO_0000027>	<http://www.w3.org/2000/01/rdf-schema#label>	"data item"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001040>	<http://www.w3.org/2000/01/rdf-schema#label>	"academic title"@en	
<http://purl.obolibrary.org/obo/BFO_0000003>	<http://www.w3.org/2000/01/rdf-schema#label>	"occurrent"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010005>	<http://www.w3.org/2000/01/rdf-schema#label>	"medicine"@en	
<http://purl.obolibrary.org/obo/BFO_0000008>	<http://www.w3.org/2000/01/rdf-schema#label>	"temporal region"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001009>	<http://www.w3.org/2000/01/rdf-schema#label>	"GND identifier"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000110>	<http://www.w3.org/2000/01/rdf-schema#label>	"consortium member role"@en	
<http://purl.obolibrary.org/obo/BFO_0000140>	<http://www.w3.org/2000/01/rdf-schema#label>	"continuant fiat boundary"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010034>	<http://www.w3.org/2000/01/rdf-schema#label>	"data cleaning process"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001038>	<http://www.w3.org/2000/01/rdf-schema#label>	"consortium partner"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000030>	<http://www.w3.org/2000/01/rdf-schema#label>	"source code repository"@en	
<http://purl.obolibrary.org/obo/BFO_0000024>	<http://www.w3.org/2000/01/rdf-schema#label>	"fiat object part"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010040>	<http://www.w3.org/2000/01/rdf-schema#label>	"software module"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010004>	<http://www.w3.org/2000/01/rdf-schema#label>	"biology"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000206>	<http://www.w3.org/2000/01/rdf-schema#label>	"standard"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001066>	<http://www.w3.org/2000/01/rdf-schema#label>	"data science"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000102>	<http://www.w3.org/2000/01/rdf-schema#label>	"agent"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010033>	<http://www.w3.org/2000/01/rdf-schema#label>	"dataset documenting process"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001032>	<http://www.w3.org/2000/01/rdf-schema#label>	"creator list"@en	
<http://purl.obolibrary.org/obo/BFO_0000040>	<http://www.w3.org/2000/01/rdf-schema#label>	"material entity"@en	
<https://nfdi4culture.de/ontology/CTO_0001005>	<http://www.w3.org/2000/01/rdf-schema#label>	"source item"@en	
<https://nfdi4culture.de/ontology/CTO_0001002>	<http://www.w3.org/2000/01/rdf-schema#label>	"lyrics"@en	
<https://nfdi4culture.de/ontology/CTO_0001001>	<http://www.w3.org/2000/01/rdf-schema#label>	"DataFeedElement"@en	
<https://nfdi4culture.de/ontology/CTO_0001001>	<http://www.w3.org/2000/01/rdf-schema#label>	"DataFeedElement"@de	
<https://schema.org/MediaObject>	<http://www.w3.org/2000/01/rdf-schema#label>	"Media Object"@en	
<https://schema.org/MediaObject>	<http://www.w3.org/2000/01/rdf-schema#label>	"MediaObject"@en	
<https://schema.org/ImageObject>	<http://www.w3.org/2000/01/rdf-schema#label>	"Image Object"@en	
<https://schema.org/ImageObject>	<http://www.w3.org/2000/01/rdf-schema#label>	"ImageObject"@en	
<https://schema.org/DataFeedItem>	<http://www.w3.org/2000/01/rdf-schema#label>	"Data Feed Item"@en	
<https://schema.org/DataFeedItem>	<http://www.w3.org/2000/01/rdf-schema#label>	"DataFeedItem"@en	
<https://schema.org/DataFeed>	<http://www.w3.org/2000/01/rdf-schema#label>	"DataFeed"@en	
<https://schema.org/AudioObject>	<http://www.w3.org/2000/01/rdf-schema#label>	"Audio Object"@en	
<https://schema.org/AudioObject>	<http://www.w3.org/2000/01/rdf-schema#label>	"AudioObject"@en	
<http://edamontology.org/format_2376>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"RDF"	
<http://edamontology.org/format_2376>	<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	"Resource Description Framework"	
<http://edamontology.org/format_3262>	<http://www.geneontology.org/formats/oboInOwl#hasNarrowSynonym>	"OWL"	
<http://edamontology.org/format_3257>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"N3"	
<http://edamontology.org/format_3749>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"JavaScript Object Notation for Linked Data"	
<http://edamontology.org/format_2376>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Resource Description Framework format"	
