?cls	?pred	?val	?synType
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010025>	<http://www.w3.org/2000/01/rdf-schema#label>	"seminar"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000229>	<http://www.w3.org/2000/01/rdf-schema#label>	"agent role"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000118>	<http://www.w3.org/2000/01/rdf-schema#label>	"contributor role"@en	
<http://purl.obolibrary.org/obo/BFO_0000018>	<http://www.w3.org/2000/01/rdf-schema#label>	"zero-dimensional spatial region"@en	
<http://purl.obolibrary.org/obo/BFO_0000148>	<http://www.w3.org/2000/01/rdf-schema#label>	"zero-dimensional temporal region"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000231>	<http://www.w3.org/2000/01/rdf-schema#label>	"contributor"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000007>	<http://www.w3.org/2000/01/rdf-schema#label>	"consortium member"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001057>	<http://www.w3.org/2000/01/rdf-schema#label>	"co organizer role"@en	
<http://purl.obolibrary.org/obo/BFO_0000015>	<http://www.w3.org/2000/01/rdf-schema#label>	"process"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001013>	<http://www.w3.org/2000/01/rdf-schema#label>	"ROR identifier"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000023>	<http://www.w3.org/2000/01/rdf-schema#label>	"ontology"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001067>	<http://www.w3.org/2000/01/rdf-schema#label>	"cybersecurity"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001047>	<http://www.w3.org/2000/01/rdf-schema#label>	"operating system"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010014>	<http://www.w3.org/2000/01/rdf-schema#label>	"mechanical engineering"@en	
<http://purl.obolibrary.org/obo/IAO_0000308>	<http://www.w3.org/2000/01/rdf-schema#label>	"figure"@en	
